iter	Passed	Remaining
173	1110	5272
174	1116	5263
175	1126	5275
176	1129	5253
177	1132	5230
178	1137	5218
179	1142	5203
180	1149	5199
181	1151	5174
182	1154	5154
183	1159	5141
184	1169	5153
185	1188	5199
186	1207	5251
187	1231	5319
188	1234	5296
189	1244	5306
190	1247	5283
191	1255	5285
192	1261	5275
193	1265	5259
194	1280	5287
195	1295	5313
196	1313	5353
197	1317	5335
198	1329	5351
199	1338	5352
200	1344	5343
201	1347	5321
202	1361	5347
203	1375	5367
204	1381	5358
205	1384	5334
206	1390	5325
207	1400	5332
208	1406	5322
209	1408	5300
210	1411	5277
211	1413	5255
212	1417	5237
213	1435	5272
214	1438	5253
215	1445	5246
216	1450	5232
217	1452	5210
218	1455	5191
219	1462	5184
220	1464	5162
221	1467	5142
222	1469	5120
223	1487	5154
224	1499	5164
225	1503	5148
226	1513	5154
227	1518	5139
228	1520	5118
229	1528	5115
230	1531	5096
231	1532	5074
232	1536	5056
233	1547	5064
234	1551	5051
235	1558	5044
236	1560	5023
237	1562	5003
238	1565	4984
239	1568	4965
240	1572	4951
241	1576	4939
242	1584	4936
243	1589	4924
244	1591	4903
245	1593	4882
246	1602	4885
247	1604	4866
248	1606	4846
249	1608	4825
250	1619	4833
251	1623	4818
252	1635	4828
253	1639	4814
254	1648	4816
255	1651	4798
256	1653	4781
257	1658	4770
258	1661	4753
259	1669	4751
260	1680	4758
261	1682	4740
262	1684	4721
263	1692	4718
264	1694	4700
265	1697	4684
266	1699	4666
267	1709	4669
268	1711	4651
269	1713	4633
270	1719	4625
271	1725	4617
272	1727	4600
273	1729	4583
274	1737	4580
275	1739	4563
276	1742	4546
277	1744	4531
278	1749	4520
279	1756	4517
280	1759	4502
281	1774	4518
282	1779	4509
283	1782	4494
284	1788	4487
285	1798	4489
286	1801	4476
287	1804	4460
288	1806	4443
289	1809	4429
290	1819	4434
291	1827	4431
292	1856	4478
293	1858	4462
294	1866	4459
295	1868	4443
296	1870	4428
297	1873	4413
298	1875	4398
299	1878	4383
300	1890	4390
301	1905	4404
302	1908	4390
303	1913	4379
304	1923	4382
305	1945	4411
306	1948	4397
307	1950	4381
308	1952	4366
309	1956	4354
310	1960	4344
311	1963	4329
312	1966	4316
313	1969	4302
314	1971	4287
315	2033	4402
316	2036	4387
317	2038	4371
318	2042	4360
319	2045	4345
320	2048	4332
321	2056	4330
322	2061	4320
323	2065	4308
324	2076	4311
325	2109	4361
326	2125	4373
327	2130	4365
328	2135	4355
329	2137	4339
330	2141	4328
331	2157	4341
332	2161	4329
333	2172	4332
334	2176	4319
335	2215	4378
336	2220	4368
337	2222	4353
338	2224	4338
339	2231	4331
340	2233	4316
341	2256	4341
342	2261	4332
343	2265	4320
344	2268	4307
345	2271	4293
346	2332	4388
347	2335	4375
348	2342	4369
349	2345	4355
350	2372	4387
351	2378	4377
352	2384	4370
353	2392	4366
354	2398	4357
355	2412	4363
356	2415	4351
357	2430	4358
358	2461	4394
359	2489	4425
360	2493	4413
361	2505	4416
362	2527	4435
363	2536	4432
364	2539	4417
365	2543	4405
366	2551	4400
367	2560	4397
368	2575	4405
369	2585	4402
370	2590	4391
371	2600	4390
372	2603	4376
373	2620	4386
374	2623	4371
375	2633	4370
376	2641	4364
377	2650	4361
378	2652	4346
379	2655	4333
380	2667	4333
381	2670	4319
382	2673	4306
383	2676	4293
384	2693	4301
385	2700	4295
386	2713	4297
387	2731	4309
388	2742	4307
389	2745	4293
390	2747	4279
391	2759	4280
392	2762	4266
393	2764	4252
394	2771	4245
395	2773	4230
396	2777	4218
397	2780	4205
398	2791	4204
399	2794	4192
400	2800	4182
401	2802	4168
402	2806	4157
403	2810	4146
404	2813	4133
405	2815	4119
406	2818	4106
407	2822	4094
408	2832	4092
409	2835	4079
410	2850	4085
411	2853	4072
412	2860	4065
413	2862	4051
414	2864	4038
415	2866	4024
416	2869	4011
417	2877	4006
